角色,模型半径,椅子上被救援时长,跑动速度,走路速度,蹲行速度,爬行速度,破译时长,触电回退,触电无法破译,开门时长,放板时长,快速翻板,中速翻板,慢速翻板,快速翻窗,慢速翻窗,开箱子,治疗受伤求生者,受伤被他人治疗,倒地自我治疗,脚印持续时长,受击加速时长,挣脱气球时长,狂欢之椅起飞时长
野人,0.34,1,3.65,2.03,1.1,0.42,108,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,6,2,16,60
勘探员,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,13.64,15,27.27,4,2,16,60
邮差,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
囚徒,0.34,1,3.8,2.11,1.14,0.44,73.64,1,1.4,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
昆虫学者,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
画家,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
守墓人,0.34,1,3.8,2.11,1.14,0.44,95.29,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
心理学家,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
病患,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
哭泣小丑,0.34,1,3.8,2.11,1.14,0.44,95.29,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
调酒师,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
小女孩,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
小说家,0.34,1,3.8,2.11,1.14,0.44,81.82,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
教授,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
拉拉队员,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
玩具商,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,5,15,15,30,4,2,16,60
作曲家,0.34,1,3.8,2.11,1.14,0.44,67.5,0,0,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
记者,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,66.67
飞行家,0.34,1,3.8,2.11,1.14,0.44,79.41,1,2,18,0.91,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
骑士,0.34,1,3.8,2.11,1.14,0.44,101.25,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
古董商,0.34,1,3.8,2.11,1.14,0.44,81,1,2,25.7,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,3,2,16,60
气象学家,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
木偶师,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,21.43,NULL,30,4,2,16,60
火灾调查员,0.34,1,3.8,2.11,1.14,0.44,85.2,1,2,18,0.66,1.06,1.48,1.88,0.79,1.15,10,15,15,30,4,2,16,60
法罗女士,0.34,1,3.8,2.11,1.14,0.44,72.9,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
幻灯师,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
弓箭手,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
