Character,Model Radius,Rescue Time from Chair,Running Speed,Walking Speed,Crouching Speed,Crawling Speed,Decoding Time,Calibration Fail Regression,Calibration Fail Lockout,Door Opening Time,Pallet Pull Down Time,Fast Pallet Vault,Medium Pallet Vault,Slow Pallet Vault,Fast Window Vault,Slow Window Vault,Chest Opening Time,Healing Others,Healing Time when Injured,Self Heal when Downed,Footprint Duration,Hit Speed Boost Duration,Struggle Free Time,Rocket Chair Ascent Time
Lawyer,0.34,1,3.8,2.11,1.14,0.44,70.43,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,4,16,60
Explorer,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,3,2,16,60
Priestess,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.81,1.3,1.81,2.3,0.97,1.41,10,13.5,10.5,21,4,2,16,60
Mechanic,0.34,1,3.8,2.11,1.14,0.44,73.64,1,2,18,0.86,1.38,1.92,2.44,1.02,1.49,10,15,15,30,4,2,16,60
Mind's Eye,0.34,1,3.8,2.64,1.14,0.44,65.85,1,2,18,0.86,1.38,1.92,2.44,1.02,1.49,10,15,15,30,4,2,16,60
Cowboy,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
First Officer,0.34,1,3.8,2.11,1.14,0.44,101.25,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,75
Perfumer,0.34,1,3.8,2.11,1.14,0.44,81,3,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,17.25,34.5,4,2,16,60
Female Dancer,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Seer,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Embalmer,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,66.67
Enchantress,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,18,36,4,2,16,60
Wildling,0.34,1,3.65,2.03,1.1,0.42,108,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,6,2,16,60
Prospector,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,13.64,15,27.27,4,2,16,60
Postman,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Prisoner,0.34,1,3.8,2.11,1.14,0.44,73.64,1,1.4,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Entomologist,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Painter,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Grave Keeper,0.34,1,3.8,2.11,1.14,0.44,95.29,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Psychologist,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Patient,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Weeping Clown,0.34,1,3.8,2.11,1.14,0.44,95.29,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Barmaid,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Little Girl,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Novelist,0.34,1,3.8,2.11,1.14,0.44,81.82,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Professor,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Cheerleader,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Toy Merchant,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,5,15,15,30,4,2,16,60
Composer,0.34,1,3.8,2.11,1.14,0.44,67.5,0,0,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Journalist,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,66.67
Aviator,0.34,1,3.8,2.11,1.14,0.44,79.41,1,2,18,0.91,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Knight,0.34,1,3.8,2.11,1.14,0.44,101.25,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Archaeologist,0.34,1,3.8,2.11,1.14,0.44,81,1,2,25.7,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,3,2,16,60
Meteorologist,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Puppeteer,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,21.43,NULL,30,4,2,16,60
Fire Investigator,0.34,1,3.8,2.11,1.14,0.44,85.2,1,2,18,0.66,1.06,1.48,1.88,0.79,1.15,10,15,15,30,4,2,16,60
Lady Farrow,0.34,1,3.8,2.11,1.14,0.44,72.9,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Projectionist,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Archer,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
